2025.04.10 03:09:30 Features for EURUSD.r: price=1.09582, atr=0.00086786, signal=hold
2025.04.10 03:15:42 Features for XAUUSD.r: price=3086.21000, atr=6.94571429, signal=hold
2025.04.10 03:15:42 Features for AUDUSD.r: price=0.61502, atr=0.00101143, signal=hold
2025.04.10 03:15:42 Features for GBPUSD.r: price=1.28336, atr=0.00114214, signal=hold
2025.04.10 03:15:42 Features for USDCAD.r: price=1.40973, atr=0.00089500, signal=hold
2025.04.10 03:30:41 Features for EURUSD.r: price=1.09708, atr=0.00090643, signal=hold
2025.04.10 03:30:41 Features for USDJPY.r: price=146.93400, atr=0.24335714, signal=hold
2025.04.10 03:30:41 Features for XAUUSD.r: price=3096.12000, atr=7.37714286, signal=hold
2025.04.10 03:30:41 Features for AUDUSD.r: price=0.61411, atr=0.00103857, signal=hold
2025.04.10 03:30:41 Features for GBPUSD.r: price=1.28382, atr=0.00105357, signal=hold
2025.04.10 03:30:41 Features for USDCAD.r: price=1.41007, atr=0.00084143, signal=hold
2025.04.10 03:30:42 Features for EURUSD.r: price=1.09708, atr=0.00090643, signal=hold
2025.04.10 03:30:42 Features for USDJPY.r: price=146.93400, atr=0.24335714, signal=hold
2025.04.10 03:30:42 Features for XAUUSD.r: price=3096.14000, atr=7.37714286, signal=hold
2025.04.10 03:30:42 Features for AUDUSD.r: price=0.61411, atr=0.00103857, signal=hold
2025.04.10 03:30:42 Features for GBPUSD.r: price=1.28382, atr=0.00105357, signal=hold
2025.04.10 03:30:42 Features for USDCAD.r: price=1.41007, atr=0.00084143, signal=hold
2025.04.10 03:45:42 Features for EURUSD.r: price=1.09752, atr=0.00094429, signal=hold
2025.04.10 03:45:42 Features for USDJPY.r: price=146.85400, atr=0.22850000, signal=hold
2025.04.10 03:45:42 Features for XAUUSD.r: price=3095.56000, atr=7.45928571, signal=hold
2025.04.10 03:45:42 Features for AUDUSD.r: price=0.61267, atr=0.00113929, signal=hold
2025.04.10 03:45:42 Features for GBPUSD.r: price=1.28383, atr=0.00098143, signal=hold
2025.04.10 03:45:42 Features for USDCAD.r: price=1.41039, atr=0.00085000, signal=hold
2025.04.10 03:45:42 Features for EURUSD.r: price=1.09752, atr=0.00094429, signal=hold
2025.04.10 03:45:42 Features for USDJPY.r: price=146.85400, atr=0.22850000, signal=hold
2025.04.10 03:45:42 Features for XAUUSD.r: price=3095.56000, atr=7.45928571, signal=hold
2025.04.10 03:45:42 Features for AUDUSD.r: price=0.61267, atr=0.00113929, signal=hold
2025.04.10 03:45:42 Features for GBPUSD.r: price=1.28383, atr=0.00098143, signal=hold
2025.04.10 03:45:42 Features for USDCAD.r: price=1.41039, atr=0.00085000, signal=hold
2025.04.10 04:00:42 Features for EURUSD.r: price=1.09844, atr=0.00102000, signal=hold
2025.04.10 04:00:42 Features for USDJPY.r: price=146.83900, atr=0.22957143, signal=hold
2025.04.10 04:00:42 Features for XAUUSD.r: price=3098.98000, atr=7.15428571, signal=hold
2025.04.10 04:00:42 Features for AUDUSD.r: price=0.61295, atr=0.00119643, signal=hold
2025.04.10 04:00:42 Features for GBPUSD.r: price=1.28414, atr=0.00106286, signal=hold
2025.04.10 04:00:42 Features for USDCAD.r: price=1.40991, atr=0.00091929, signal=hold
2025.04.10 04:00:42 Features for EURUSD.r: price=1.09844, atr=0.00102000, signal=hold
2025.04.10 04:00:42 Features for USDJPY.r: price=146.83900, atr=0.22957143, signal=hold
2025.04.10 04:00:42 Features for XAUUSD.r: price=3098.98000, atr=7.15428571, signal=hold
2025.04.10 04:00:42 Features for AUDUSD.r: price=0.61295, atr=0.00119643, signal=hold
2025.04.10 04:00:42 Features for GBPUSD.r: price=1.28414, atr=0.00106286, signal=hold
2025.04.10 04:00:42 Features for USDCAD.r: price=1.40991, atr=0.00091929, signal=hold
2025.04.10 04:00:42 Features for EURUSD.r: price=1.09844, atr=0.00102000, signal=hold
2025.04.10 04:00:42 Features for USDJPY.r: price=146.83900, atr=0.22957143, signal=hold
2025.04.10 04:00:42 Features for XAUUSD.r: price=3098.98000, atr=7.15428571, signal=hold
2025.04.10 04:00:42 Features for AUDUSD.r: price=0.61295, atr=0.00119643, signal=hold
2025.04.10 04:00:42 Features for GBPUSD.r: price=1.28414, atr=0.00106286, signal=hold
2025.04.10 04:00:42 Features for USDCAD.r: price=1.40991, atr=0.00091929, signal=hold
2025.04.10 04:15:42 Features for EURUSD.r: price=1.09825, atr=0.00103071, signal=hold
2025.04.10 04:15:42 Features for USDJPY.r: price=146.75400, atr=0.23085714, signal=hold
2025.04.10 04:15:42 Features for XAUUSD.r: price=3088.75000, atr=7.92000000, signal=hold
2025.04.10 04:15:42 Features for AUDUSD.r: price=0.61220, atr=0.00126714, signal=hold
2025.04.10 04:15:42 Features for GBPUSD.r: price=1.28357, atr=0.00113286, signal=hold
2025.04.10 04:15:42 Features for USDCAD.r: price=1.41054, atr=0.00095643, signal=hold
2025.04.10 04:15:42 Features for EURUSD.r: price=1.09825, atr=0.00103071, signal=hold
2025.04.10 04:15:42 Features for USDJPY.r: price=146.75400, atr=0.23085714, signal=hold
2025.04.10 04:15:42 Features for XAUUSD.r: price=3088.75000, atr=7.92000000, signal=hold
2025.04.10 04:15:42 Features for AUDUSD.r: price=0.61220, atr=0.00126714, signal=hold
2025.04.10 04:15:42 Features for GBPUSD.r: price=1.28357, atr=0.00113286, signal=hold
2025.04.10 04:15:42 Features for USDCAD.r: price=1.41054, atr=0.00095643, signal=hold
2025.04.10 04:15:42 Features for EURUSD.r: price=1.09825, atr=0.00103071, signal=hold
2025.04.10 04:15:42 Features for USDJPY.r: price=146.75500, atr=0.23085714, signal=hold
2025.04.10 04:15:42 Features for XAUUSD.r: price=3088.75000, atr=7.92000000, signal=hold
2025.04.10 04:15:42 Features for AUDUSD.r: price=0.61221, atr=0.00126714, signal=hold
2025.04.10 04:15:42 Features for GBPUSD.r: price=1.28357, atr=0.00113286, signal=hold
2025.04.10 04:15:42 Features for USDCAD.r: price=1.41054, atr=0.00095643, signal=hold
2025.04.10 04:30:42 Features for EURUSD.r: price=1.09815, atr=0.00100643, signal=hold
2025.04.10 04:30:42 Features for USDJPY.r: price=146.76400, atr=0.23692857, signal=hold
2025.04.10 04:30:42 Features for XAUUSD.r: price=3086.89000, atr=7.45785714, signal=hold
2025.04.10 04:30:42 Features for AUDUSD.r: price=0.61215, atr=0.00126929, signal=hold
2025.04.10 04:30:42 Features for GBPUSD.r: price=1.28323, atr=0.00102500, signal=hold
2025.04.10 04:30:42 Features for USDCAD.r: price=1.41084, atr=0.00096357, signal=hold
2025.04.10 04:30:42 Features for EURUSD.r: price=1.09815, atr=0.00100643, signal=hold
2025.04.10 04:30:42 Features for USDJPY.r: price=146.76400, atr=0.23692857, signal=hold
2025.04.10 04:30:42 Features for XAUUSD.r: price=3086.89000, atr=7.45785714, signal=hold
2025.04.10 04:30:42 Features for AUDUSD.r: price=0.61215, atr=0.00126929, signal=hold
2025.04.10 04:30:42 Features for GBPUSD.r: price=1.28323, atr=0.00102500, signal=hold
2025.04.10 04:30:42 Features for USDCAD.r: price=1.41084, atr=0.00096357, signal=hold
2025.04.10 04:30:42 Features for EURUSD.r: price=1.09815, atr=0.00100643, signal=hold
2025.04.10 04:30:42 Features for USDJPY.r: price=146.76400, atr=0.23692857, signal=hold
2025.04.10 04:30:42 Features for XAUUSD.r: price=3086.90000, atr=7.45785714, signal=hold
2025.04.10 04:30:42 Features for AUDUSD.r: price=0.61215, atr=0.00126929, signal=hold
2025.04.10 04:30:42 Features for GBPUSD.r: price=1.28323, atr=0.00102500, signal=hold
2025.04.10 04:30:42 Features for USDCAD.r: price=1.41084, atr=0.00096357, signal=hold
2025.04.10 04:45:33 Features for EURUSD.r: price=1.09745, atr=0.00099071, signal=hold
2025.04.10 04:45:33 Features for USDJPY.r: price=146.92700, atr=0.23371429, signal=hold
2025.04.10 04:45:33 Features for XAUUSD.r: price=3087.49000, atr=7.65000000, signal=hold
2025.04.10 04:45:33 Features for AUDUSD.r: price=0.61197, atr=0.00121000, signal=hold
2025.04.10 04:45:33 Features for GBPUSD.r: price=1.28238, atr=0.00099857, signal=hold
2025.04.10 04:45:33 Features for USDCAD.r: price=1.41075, atr=0.00086286, signal=hold
2025.04.10 04:45:52 Features for EURUSD.r: price=1.09736, atr=0.00100857, signal=hold
2025.04.10 04:45:52 Features for USDJPY.r: price=146.90000, atr=0.23392857, signal=hold
2025.04.10 04:45:52 Features for XAUUSD.r: price=3087.73000, atr=7.66357143, signal=hold
2025.04.10 04:45:52 Features for AUDUSD.r: price=0.61191, atr=0.00121429, signal=hold
2025.04.10 04:45:52 Features for GBPUSD.r: price=1.28253, atr=0.00100643, signal=hold
2025.04.10 04:45:52 Features for USDCAD.r: price=1.41078, atr=0.00086429, signal=hold
2025.04.10 04:45:58 Features for EURUSD.r: price=1.09740, atr=0.00100857, signal=hold
2025.04.10 04:45:58 Features for USDJPY.r: price=146.89700, atr=0.23392857, signal=hold
2025.04.10 04:45:58 Features for XAUUSD.r: price=3087.60000, atr=7.66357143, signal=hold
2025.04.10 04:45:58 Features for AUDUSD.r: price=0.61182, atr=0.00122000, signal=hold
2025.04.10 04:45:58 Features for GBPUSD.r: price=1.28256, atr=0.00100643, signal=hold
2025.04.10 04:45:58 Features for USDCAD.r: price=1.41080, atr=0.00086500, signal=hold
2025.04.10 04:46:01 Features for EURUSD.r: price=1.09744, atr=0.00100857, signal=hold
2025.04.10 04:46:01 Features for USDJPY.r: price=146.89200, atr=0.23392857, signal=hold
2025.04.10 04:46:01 Features for XAUUSD.r: price=3087.17000, atr=7.66357143, signal=hold
2025.04.10 04:46:01 Features for AUDUSD.r: price=0.61188, atr=0.00122000, signal=hold
2025.04.10 04:46:01 Features for GBPUSD.r: price=1.28260, atr=0.00100643, signal=hold
2025.04.10 04:46:01 Features for USDCAD.r: price=1.41078, atr=0.00086500, signal=hold
2025.04.10 04:46:16 Features for EURUSD.r: price=1.09738, atr=0.00100857, signal=hold
2025.04.10 04:46:16 Features for USDJPY.r: price=146.88300, atr=0.23392857, signal=hold
2025.04.10 04:46:16 Features for XAUUSD.r: price=3086.12000, atr=7.69214286, signal=hold
2025.04.10 04:46:16 Features for AUDUSD.r: price=0.61193, atr=0.00122000, signal=hold
2025.04.10 04:46:16 Features for GBPUSD.r: price=1.28261, atr=0.00100643, signal=hold
2025.04.10 04:46:16 Features for USDCAD.r: price=1.41077, atr=0.00086500, signal=hold
2025.04.10 04:47:24 Features for EURUSD.r: price=1.09741, atr=0.00101214, signal=hold
2025.04.10 04:47:24 Features for USDJPY.r: price=146.91900, atr=0.23392857, signal=hold
2025.04.10 04:47:24 Features for XAUUSD.r: price=3086.31000, atr=7.76714286, signal=hold
2025.04.10 04:47:24 Features for AUDUSD.r: price=0.61216, atr=0.00122000, signal=hold
2025.04.10 04:47:24 Features for GBPUSD.r: price=1.28261, atr=0.00100643, signal=hold
2025.04.10 04:47:24 Features for USDCAD.r: price=1.41058, atr=0.00087429, signal=hold
2025.04.10 04:47:24 Features for EURUSD.r: price=1.09741, atr=0.00101214, signal=hold
2025.04.10 04:47:24 Features for USDJPY.r: price=146.91900, atr=0.23392857, signal=hold
2025.04.10 04:47:24 Features for XAUUSD.r: price=3086.31000, atr=7.76714286, signal=hold
2025.04.10 04:47:24 Features for AUDUSD.r: price=0.61216, atr=0.00122000, signal=hold
2025.04.10 04:47:24 Features for GBPUSD.r: price=1.28261, atr=0.00100643, signal=hold
2025.04.10 04:47:24 Features for USDCAD.r: price=1.41058, atr=0.00087429, signal=hold
2025.04.10 04:47:24 Features for EURUSD.r: price=1.09741, atr=0.00101214, signal=hold
2025.04.10 04:47:24 Features for USDJPY.r: price=146.91900, atr=0.23392857, signal=hold
2025.04.10 04:47:24 Features for XAUUSD.r: price=3086.31000, atr=7.76714286, signal=hold
2025.04.10 04:47:24 Features for AUDUSD.r: price=0.61216, atr=0.00122000, signal=hold
2025.04.10 04:47:24 Features for GBPUSD.r: price=1.28261, atr=0.00100643, signal=hold
2025.04.10 04:47:24 Features for USDCAD.r: price=1.41058, atr=0.00087429, signal=hold
2025.04.10 04:47:24 Features for EURUSD.r: price=1.09741, atr=0.00101214, signal=hold
2025.04.10 04:47:24 Features for USDJPY.r: price=146.91900, atr=0.23392857, signal=hold
2025.04.10 04:47:24 Features for XAUUSD.r: price=3086.31000, atr=7.76714286, signal=hold
2025.04.10 04:47:24 Features for AUDUSD.r: price=0.61216, atr=0.00122000, signal=hold
2025.04.10 04:47:24 Features for GBPUSD.r: price=1.28261, atr=0.00100643, signal=hold
2025.04.10 04:47:24 Features for USDCAD.r: price=1.41058, atr=0.00087429, signal=hold
2025.04.10 04:47:24 Features for EURUSD.r: price=1.09741, atr=0.00101214, signal=hold
2025.04.10 04:47:24 Features for USDJPY.r: price=146.91900, atr=0.23392857, signal=hold
2025.04.10 04:47:24 Features for XAUUSD.r: price=3086.31000, atr=7.76714286, signal=hold
2025.04.10 04:47:24 Features for AUDUSD.r: price=0.61216, atr=0.00122000, signal=hold
2025.04.10 04:47:24 Features for GBPUSD.r: price=1.28261, atr=0.00100643, signal=hold
2025.04.10 04:47:24 Features for USDCAD.r: price=1.41058, atr=0.00087429, signal=hold
2025.04.10 05:00:24 Features for EURUSD.r: price=1.09733, atr=0.00098357, signal=hold
2025.04.10 05:00:24 Features for USDJPY.r: price=146.98100, atr=0.23657143, signal=hold
2025.04.10 05:00:24 Features for XAUUSD.r: price=3095.04000, atr=7.52714286, signal=hold
2025.04.10 05:00:24 Features for AUDUSD.r: price=0.61290, atr=0.00114286, signal=hold
2025.04.10 05:00:24 Features for GBPUSD.r: price=1.28303, atr=0.00092714, signal=hold
2025.04.10 05:00:24 Features for USDCAD.r: price=1.41042, atr=0.00083714, signal=hold
2025.04.10 05:00:24 Features for EURUSD.r: price=1.09733, atr=0.00098357, signal=hold
2025.04.10 05:00:24 Features for USDJPY.r: price=146.98100, atr=0.23657143, signal=hold
2025.04.10 05:00:24 Features for XAUUSD.r: price=3095.04000, atr=7.52714286, signal=hold
2025.04.10 05:00:24 Features for AUDUSD.r: price=0.61290, atr=0.00114286, signal=hold
2025.04.10 05:00:24 Features for GBPUSD.r: price=1.28303, atr=0.00092714, signal=hold
2025.04.10 05:00:24 Features for USDCAD.r: price=1.41042, atr=0.00083714, signal=hold
2025.04.10 05:00:24 Features for EURUSD.r: price=1.09733, atr=0.00098357, signal=hold
2025.04.10 05:00:24 Features for USDJPY.r: price=146.98100, atr=0.23657143, signal=hold
2025.04.10 05:00:24 Features for XAUUSD.r: price=3095.04000, atr=7.52714286, signal=hold
2025.04.10 05:00:24 Features for AUDUSD.r: price=0.61290, atr=0.00114286, signal=hold
2025.04.10 05:00:24 Features for GBPUSD.r: price=1.28303, atr=0.00092714, signal=hold
2025.04.10 05:00:24 Features for USDCAD.r: price=1.41042, atr=0.00083714, signal=hold
2025.04.10 05:00:24 Features for EURUSD.r: price=1.09733, atr=0.00098357, signal=hold
2025.04.10 05:00:24 Features for USDJPY.r: price=146.98100, atr=0.23657143, signal=hold
2025.04.10 05:00:24 Features for XAUUSD.r: price=3095.04000, atr=7.52714286, signal=hold
2025.04.10 05:00:24 Features for AUDUSD.r: price=0.61290, atr=0.00114286, signal=hold
2025.04.10 05:00:24 Features for GBPUSD.r: price=1.28303, atr=0.00092714, signal=hold
2025.04.10 05:00:24 Features for USDCAD.r: price=1.41042, atr=0.00083714, signal=hold
2025.04.10 05:00:24 Features for EURUSD.r: price=1.09733, atr=0.00098357, signal=hold
2025.04.10 05:00:24 Features for USDJPY.r: price=146.98100, atr=0.23657143, signal=hold
2025.04.10 05:00:24 Features for XAUUSD.r: price=3095.04000, atr=7.52714286, signal=hold
2025.04.10 05:00:24 Features for AUDUSD.r: price=0.61290, atr=0.00114286, signal=hold
2025.04.10 05:00:24 Features for GBPUSD.r: price=1.28303, atr=0.00092714, signal=hold
2025.04.10 05:00:24 Features for USDCAD.r: price=1.41042, atr=0.00083714, signal=hold
2025.04.10 05:13:28 Features for EURUSD.r: price=1.09643, atr=0.00107000, signal=hold
2025.04.10 05:13:28 Features for USDJPY.r: price=146.85200, atr=0.24714286, signal=hold
2025.04.10 05:13:28 Features for XAUUSD.r: price=3103.77000, atr=8.74000000, signal=hold
2025.04.10 05:13:28 Features for AUDUSD.r: price=0.61370, atr=0.00121643, signal=hold
2025.04.10 05:13:28 Features for GBPUSD.r: price=1.28247, atr=0.00097786, signal=hold
2025.04.10 05:13:28 Features for USDCAD.r: price=1.41025, atr=0.00085929, signal=hold
2025.04.10 05:13:39 Features for EURUSD.r: price=1.09644, atr=0.00107000, signal=hold
2025.04.10 05:13:39 Features for USDJPY.r: price=146.84800, atr=0.24714286, signal=hold
2025.04.10 05:13:39 Features for XAUUSD.r: price=3103.55000, atr=8.74000000, signal=hold
2025.04.10 05:13:39 Features for AUDUSD.r: price=0.61381, atr=0.00121643, signal=hold
2025.04.10 05:13:39 Features for GBPUSD.r: price=1.28251, atr=0.00097786, signal=hold
2025.04.10 05:13:39 Features for USDCAD.r: price=1.41022, atr=0.00085929, signal=hold
2025.04.10 05:14:00 Features for EURUSD.r: price=1.09645, atr=0.00107000, signal=hold
2025.04.10 05:14:00 Features for USDJPY.r: price=146.82500, atr=0.24714286, signal=hold
2025.04.10 05:14:00 Features for XAUUSD.r: price=3104.45000, atr=8.74000000, signal=hold
2025.04.10 05:14:00 Features for AUDUSD.r: price=0.61371, atr=0.00121643, signal=hold
2025.04.10 05:14:00 Features for GBPUSD.r: price=1.28246, atr=0.00097786, signal=hold
2025.04.10 05:14:00 Features for USDCAD.r: price=1.41025, atr=0.00085929, signal=hold
2025.04.10 05:14:15 Features for EURUSD.r: price=1.09648, atr=0.00107000, signal=hold
2025.04.10 05:14:15 Features for USDJPY.r: price=146.81800, atr=0.24714286, signal=hold
2025.04.10 05:14:15 Features for XAUUSD.r: price=3104.63000, atr=8.74000000, signal=hold
2025.04.10 05:14:15 Features for AUDUSD.r: price=0.61388, atr=0.00121643, signal=hold
2025.04.10 05:14:15 Features for GBPUSD.r: price=1.28255, atr=0.00097786, signal=hold
2025.04.10 05:14:15 Features for USDCAD.r: price=1.41013, atr=0.00086286, signal=hold
2025.04.10 05:14:31 Features for EURUSD.r: price=1.09647, atr=0.00107000, signal=hold
2025.04.10 05:14:31 Features for USDJPY.r: price=146.82000, atr=0.24714286, signal=hold
2025.04.10 05:14:31 Features for XAUUSD.r: price=3104.41000, atr=8.74000000, signal=hold
2025.04.10 05:14:31 Features for AUDUSD.r: price=0.61388, atr=0.00121643, signal=hold
2025.04.10 05:14:31 Features for GBPUSD.r: price=1.28254, atr=0.00097786, signal=hold
2025.04.10 05:14:31 Features for USDCAD.r: price=1.41014, atr=0.00086429, signal=hold
2025.04.10 05:14:40 Features for EURUSD.r: price=1.09637, atr=0.00107000, signal=hold
2025.04.10 05:14:40 Features for USDJPY.r: price=146.81800, atr=0.24714286, signal=hold
2025.04.10 05:14:40 Features for XAUUSD.r: price=3104.75000, atr=8.74000000, signal=hold
2025.04.10 05:14:40 Features for AUDUSD.r: price=0.61385, atr=0.00121643, signal=hold
2025.04.10 05:14:40 Features for GBPUSD.r: price=1.28247, atr=0.00097786, signal=hold
2025.04.10 05:14:40 Features for USDCAD.r: price=1.41014, atr=0.00086429, signal=hold
2025.04.10 05:15:00 Features for EURUSD.r: price=1.09628, atr=0.00100929, signal=hold
2025.04.10 05:15:00 Features for USDJPY.r: price=146.84600, atr=0.23878571, signal=hold
2025.04.10 05:15:00 Features for XAUUSD.r: price=3105.07000, atr=8.28214286, signal=hold
2025.04.10 05:15:00 Features for AUDUSD.r: price=0.61389, atr=0.00115571, signal=hold
2025.04.10 05:15:00 Features for GBPUSD.r: price=1.28245, atr=0.00090357, signal=hold
2025.04.10 05:15:00 Features for USDCAD.r: price=1.41014, atr=0.00078286, signal=hold
2025.04.10 05:15:15 Features for EURUSD.r: price=1.09639, atr=0.00101857, signal=hold
2025.04.10 05:15:15 Features for USDJPY.r: price=146.84900, atr=0.23928571, signal=hold
2025.04.10 05:15:15 Features for XAUUSD.r: price=3106.46000, atr=8.40714286, signal=hold
2025.04.10 05:15:15 Features for AUDUSD.r: price=0.61390, atr=0.00116500, signal=hold
2025.04.10 05:15:15 Features for GBPUSD.r: price=1.28253, atr=0.00091214, signal=hold
2025.04.10 05:15:15 Features for USDCAD.r: price=1.41006, atr=0.00078929, signal=hold
2025.04.10 05:15:28 Features for EURUSD.r: price=1.09646, atr=0.00102286, signal=hold
2025.04.10 05:15:28 Features for USDJPY.r: price=146.85000, atr=0.23971429, signal=hold
2025.04.10 05:15:28 Features for XAUUSD.r: price=3107.42000, atr=8.44857143, signal=hold
2025.04.10 05:15:28 Features for AUDUSD.r: price=0.61397, atr=0.00117000, signal=hold
2025.04.10 05:15:28 Features for GBPUSD.r: price=1.28257, atr=0.00091214, signal=hold
2025.04.10 05:15:28 Features for USDCAD.r: price=1.41006, atr=0.00078929, signal=hold
2025.04.10 05:15:31 Features for EURUSD.r: price=1.09637, atr=0.00102357, signal=hold
2025.04.10 05:15:31 Features for USDJPY.r: price=146.87400, atr=0.24085714, signal=hold
2025.04.10 05:15:31 Features for XAUUSD.r: price=3106.59000, atr=8.44857143, signal=hold
2025.04.10 05:15:31 Features for AUDUSD.r: price=0.61390, atr=0.00117000, signal=hold
2025.04.10 05:15:31 Features for GBPUSD.r: price=1.28247, atr=0.00091286, signal=hold
